### Vital Signs Units of Measurement
# OpenOffice 1.1.3 (Writer and Calc) from the document IEEEandUCUM.1c.doc 2006-11-014T15,
# "Excerpted from ‘11073-10101-D05e.doc’, dated 2002-12-16 (from Paul Schluter Nov. 3, 2006)" 
# Copyright (C) IEEE and ISO. 
# According to http://www.iso.org/iso/copyright.htm a written permission is required before the table can be published. 

# $Id$
# This file is part of the biosig project http://biosig.sf.net/
#
#
"Dimension"	"Unit of Measurement"	"Symbol  (informative)"	"UCUM"	"Reference ID"	"Code  (base code)"
"MT-1 (mass flow rate)"					
	"<magnitude> gram(s) per second"	"g s-1"	"g/s"	"NOM_DIM_X_G_PER_SEC"	3296
	"<magnitude> gram(s) per minute"	"g m-1"	"g/m"	"NOM_DIM_X_G_PER_MIN"	3328
	"<magnitude> gram(s) per hour"	"g h-1"	"g/h"	"NOM_DIM_X_G_PER_HR"	3360
	"<magnitude> gram(s) per day"	"g d-1"	"g/d"	"NOM_DIM_X_G_PER_DAY"	3392
"MT-1M-1 (mass fraction rate, dosage)"					
	"<magnitude> gram(s) per kilogram per second"	"g kg-1 s-1"	"g/kg/s"	"NOM_DIM_X_G_PER_KG_PER_SEC"	3424
	"<magnitude> gram(s) per kilogram per minute"	"g kg-1 m-1"	"g/kg/min"	"NOM_DIM_X_G_PER_KG_PER_MIN"	3456
	"<magnitude> gram(s) per kilogram per hour"	"g kg-1 h-1"	"g/kg/h"	"NOM_DIM_X_G_PER_KG_PER_HR"	3488
	"<magnitude> gram(s) per kilogram per day"	"g kg-1 d-1"	"g/kg/d"	"NOM_DIM_X_G_PER_KG_PER_DAY"	3520
"L-3MT-1 (mass concentration rate)"					
	"<magnitude> gram (s) per litre per second"	"g l-1 s-1"	"g/L/s"	"NOM_DIM_X_G_PER_L_PER_SEC"	3552
	"<magnitude> gram(s) per litre per minute"	"g l-1 m-1"	"g/L/min"	"NOM_DIM_X_G_PER_L_PER_MIN"	3584
	"<magnitude> gram(s) per litre per hour"	"g l-1 h-1"	"g/L/h"	"NOM_DIM_X_G_PER_L_PER_HR"	3616
	"<magnitude> gram(s) per litre per day"	"g l-1 d-1"	"g/L/d"	"NOM_DIM_X_G_PER_L_PER_DAY"	3648
"L-1MT-1 (dynamic viscosity)"					
	"<magnitude> gram(s) per meter per second"	"g m-1 s-1"	"g/m/s"	"NOM_DIM_X_G_PER_M_PER_SEC"	3680
"LMT-1 (momentum, impulse)"					
	"<magnitude> gram metre(s) per second"	"gm s-1"	"g.m/s"	"NOM_DIM_X_G_M_PER_SEC"	3712
	"<magnitude> newton second(s)"	"Ns"		"NOM_DIM_X_NEWTON_SEC"	3744
"LMT-2 (force)"					
	"<magnitude> newton"	"N"	"[G]"	"NOM_DIM_X_NEWTON"	3776
	"<magnitude> dyne"	"dyn"	"dyn"	"NOM_DIM_X_DYNE"	3808
"L-1MT-2 (pressure)"					
	"<magnitude> pascal"	"Pa"	"Pa"	"NOM_DIM_X_PASCAL"	3840
	"millimetre(s) of mercury"	"mmHg"	"mm[Hg]"	"NOM_DIM_MMHG"	3872
	"centimetre of water"	"cm H2O"	"cm[H20]"	"NOM_DIM_CM_H2O"	3904
	"<magnitude> bar"	"bar"	"bar"	"NOM_DIM_X_BAR"	3936
	"<magnitude> pounds per square inch"	"PSI"	"[psi]"	"NOM_DIM_PSI"	6592
"L2MT-2 (energy)"					
	"<magnitude> joule(s)"	"J"	"J"	"NOM_DIM_X_JOULES"	3968
	"<magnitude> electronvolt(s)"	"eV"	"eV"	"NOM_DIM_EVOLT"	4000
"L2MT-3 (power)"					
	"<magnitude> watt(s)"	"W"	"W"	"NOM_DIM_X_WATT"	4032
"L-4MT-1 (hydraulic impedance)"					
	"<magnitude> pascal second per cubic meter"	"Pa s m-3"	"Pa.s/m3"	"NOM_DIM_X_PASCAL_SEC_PER_M_CUBE"	4064
	"<magnitude> pascal second per litre"	"Pa s l-1"	"Pa.s/L"	"NOM_DIM_X_PASCAL_SEC_PER_L"	4096
	"<magnitude> dyne second per cm5"	"dyn s cm-5"	"dyn.s/cm5"	"NOM_DIM_X_DYNE_PER_SEC_PER_CM5"	4128
"L4M-1T2 (compliance)"					
	"<magnitude> litre per centimetre of water"	"l (cmH2O)-1"	"L/cm[H20]"	"NOM_DIM_X_L_PER_CM_H2O"	5888
	"<magnitude> litre per millimetre of mercury"	"l (mmHg)-1"	"L/mm[Hg]"	"NOM_DIM_X_L_PER_MM_HG"	6272
	"<magnitude> litre per pascal"	"l Pa-1"	"L/Pa"	"NOM_DIM_X_L_PER_MM_PA"	6304
"L-44M1T-2 (elastance)"					
	"centimetre of water per <magnitude> litre"	"cmH2O l-1"	"cm[H20]/L"	"NOM_DIM_CM_H2O_PER_L"	6144
	"millimetre of mercury per <magnitude> litre"	"mmHg l-1"	"mm[Hg]/L"	"NOM_DIM_MM_HG_PER_X_L"	6336
	"pascal per <magnitude> litre"	"Pa l-1"	"Pa/L"	"NOM_DIM_PA_PER_X_L"	6368
	"per <magnitude> litre per minute"	" l-1 min-1"	"L/m"	"NOM_DIM_PER_X_L_PER_MIN"	6528
"I (electrical current)"					
	"<magnitude> ampere(s)"	"A"	"A"	"NOM_DIM_X_AMPS"	4160
"IT (electrical charge)"					
	"<magnitude> coulomb(s)"	"C"	"C"	"NOM_DIM_X_COULOMB"	4192
	"<magnitude> ampere(s) hour"	"Ah"	"A.h"	"NOM_DIM_X_AMP_HR"	6080
"IL-1 (magnetic field strength)"					
	"<magnitude> ampere(s) per metre"	"A m-1"	"A/m"	"NOM_DIM_X_AMPS_PER_M"	4224
"ML2I-1T-3 (electric potential)"					
	"<magnitude> volt(s)"	"V"	"V"	"NOM_DIM_X_VOLT"	4256
"ML2I-2T-3 (electric resistance)"					
	"<magnitude> ohm(s)"	"?"	"Ohm"	"NOM_DIM_X_OHM"	4288
"ML3I-2T-3 (electrical resistivity)"					
	"<magnitude> ohm metre(s)"	"?m"	"Ohm/m"	"NOM_DIM_X_OHM_M"	4320
"I2T4M-1L-2 (electrical capacitance)"					
	"<magnitude> farad(s)"	"F"	"F"	"NOM_DIM_X_FARAD"	4352
"?(temperature)"					
	"kelvin"	"K"	"K"	"NOM_DIM_KELVIN"	4384
	"degree Celcius"	"?C"	"Cel"	"NOM_DIM_DEGC"	6048
	"degree Fahrenheit"	"?F"	"[degF]"	"NOM_DIM_FAHR"	4416
"?T3M-1L-2 (thermal resistance)"					
	"kelvin(s) per <magnitude> watt"	"K W-1"	"K/W"	"NOM_DIM_KELVIN_PER_X_WATT"	4448
"J (luminous intensity)"					
	"<magnitude> candela(s)"	"cd"	"cd"	"NOM_DIM_X_CANDELA"	4480
"N (amount of substance)"					
	"<magnitude> osmole(s)"	"osmole"	"osm"	"NOM_DIM_X_OSM"	4512
	"<magnitude> mole(s)"	"mol"	"mol"	"NOM_DIM_X_MOLE"	4544
	"<magnitude> equivalent"	"eq"	"eq"	"NOM_DIM_X_EQUIV"	4576
"NL-3 (concentration)"					
	"<magnitude> osmoles per litre"	"osmol l-1"	"osm/L"	"NOM_DIM_X_OSM_PER_L"	4608
	"<magnitude> mole(s) per cubic centimetre"	"mol cm-3"	"osm/cm3"	"NOM_DIM_X_MOLE_PER_CM_CUBE"	4640
	"<magnitude> mole(s) per cubic metre"	"mol m-3"	"mol/m3"	"NOM_DIM_X_MOLE_PER_M_CUBE"	4672
	"<magnitude> mole(s) per litre"	"mol l-1"	"mol/L"	"NOM_DIM_X_MOLE_PER_L"	4704
	"<magnitude> mole(s) per millilitre"	"mol ml-1"	"mol/mL"	"NOM_DIM_X_MOLE_PER_ML"	4736
	"<magnitude> equivalents per cubic centimetre"	"eq cm-3"	"mol/cm3"	"NOM_DIM_X_EQUIV_PER_CM_CUBE"	4768
	"<magnitude> equivalents per cubic metre"	"eq m-3"	"eq/m3"	"NOM_DIM_X_EQUIV_PER_M_CUBE"	4800
	"<magnitude> equivalents per litre"	"eq l-1"	"eq/L"	"NOM_DIM_X_EQUIV_PER_L"	4832
	"<magnitude> equivalents per millilitre"	"eq ml-1"	"eq/mL"	"NOM_DIM_X_EQUIV_PER_ML"	4864
"NM-1 (substance content)"					
	"<magnitude> osmoles per kilogram"	"osmol  kg-1"	"osm/kg"	"NOM_DIM_X_OSM_PER_KG"	4896
	"<magnitude> mole(s) per kilogram"	"mol kg-1"	"mol/kg"	"NOM_DIM_X_MOLE_PER_KG"	4928
"NT-1 (substance rate)"					
	"<magnitude> mole(s) per second"	"mol s-1"	"mol/s"	"NOM_DIM_X_MOLE_PER_SEC"	4960
	"<magnitude> mole(s) per minute"	"mol min-1"	"mol/min"	"NOM_DIM_X_MOLE_PER_MIN"	4992
	"<magnitude> mole(s) per hour"	"mol h-1"	"mol/h"	"NOM_DIM_X_MOLE_PER_HR"	5024
	"<magnitude> mole(s) per day"	"mol d-1"	"mol/d"	"NOM_DIM_X_MOLE_PER_DAY"	5056
	"<magnitude> equivalents per second"	"eq s-1"	"eq/s"	"NOM_DIM_X_EQUIV_PER_SEC"	5088
	"<magnitude> equivalents per minute"	"eq min-1"	"eq/min"	"NOM_DIM_X_EQUIV_PER_MIN"	5120
	"<magnitude> equivalents per hour"	"eq h-1"	"eq/h"	"NOM_DIM_X_EQUIV_PER_HR"	5152
	"<magnitude> equivalents per day"	"eq d-1"	"eq/d"	"NOM_DIM_X_EQUIV_PER_DAY"	5184
"NT-1M-1 (subst. fraction rate, dosage)"					
	"<magnitude> mole(s) per kilogram per second"	"mol kg-1 s-1"	"mol/kg/s"	"NOM_DIM_X_MOLE_PER_KG_PER_SEC"	5216
	"<magnitude> mole(s) per kilogram per minute"	"mol kg-1 min-1"	"mol/kg/min"	"NOM_DIM_X_MOLE_PER_KG_PER_MIN"	5248
	"<magnitude> mole(s) per kilogram per hour"	"mol kg-1 h-1"	"mol/kg/h"	"NOM_DIM_X_MOLE_PER_KG_PER_HR"	5280
	"<magnitude> mole(s) per kilogram per day"	"mol kg-1 d-1"	"mol/kg/d"	"NOM_DIM_X_MOLE_PER_KG_PER_DAY"	5312
	"<magnitude> equivalents per kilogram per second"	"eq kg-1 s-1"	"eq/kg/s"	"NOM_DIM_X_EQUIV_PER_KG_PER_SEC"	5344
	"<magnitude> equivalents per kilogram per minute"	"eq kg-1 min-1"	"eq/kg/min"	"NOM_DIM_X_EQUIV_PER_KG_PER_MIN"	5376
	"<magnitude> equivalents per kilogram per hour"	"eq kg-1 h-1"	"eq/kg/h"	"NOM_DIM_X_EQUIV_PER_KG_PER_HR"	5408
	"<magnitude> equivalents per kilogram per day"	"eq kg-1 d-1"	"eq/kg/d"	"NOM_DIM_X_EQUIV_PER_KG_PER_DAY"	5440
"International Unit"					
	"<magnitude> international unit"	"i.u."	"[iU]"	"NOM_DIM_X_INTL_UNIT"	5472
"- concentration"	"<magnitude> international units per cubic centimetre"	"i.u. cm-3"	"[iU]/cm3"	"NOM_DIM_X_INTL_UNIT_PER_CM_CUBE"	5504
	"<magnitude> international units per cubic meter"	"i.u. m-3"	"[iU]/m3"	"NOM_DIM_X_INTL_UNIT_PER_M_CUBE"	5536
	"<magnitude> international units per litre"	"i.u. l-1"	"[iU]/L"	"NOM_DIM_X_INTL_UNIT_PER_L"	5568
	"<magnitude> international units per millilitre"	"i.u. ml-1"	"[iU]/mL"	"NOM_DIM_X_INTL_UNIT_PER_ML"	5600
"- mass flow rate"	"<magnitude> international units per second"	"i.u. s-1"	"[iU]/s"	"NOM_DIM_X_INTL_UNIT_PER_SEC"	5632
	"<magnitude> international units per minute"	"i.u. min-1"	"[iU]/min"	"NOM_DIM_X_INTL_UNIT_PER_MIN"	5664
	"<magnitude> international units per hour"	"i.u. h-1"	"[iU]/h"	"NOM_DIM_X_INTL_UNIT_PER_HR"	5696
	"<magnitude> international units per day"	"i.u. d-1"	"[iU]/d"	"NOM_DIM_X_INTL_UNIT_PER_DAY"	5728
"- dosage"	"<magnitude> int. units per kilogram per second"	"i.u. kg-1 s-1"	"[iU]/kg/s"	"NOM_DIM_X_INTL_UNIT_PER_KG_PER_SEC"	5760
	"<magnitude> int. units per kilogram per minute"	"i.u. kg-1 min-1"	"[iU]/kg/m"	"NOM_DIM_X_INTL_UNIT_PER_KG_PER_MIN"	5792
	"<magnitude> int. units per kilogram per hour"	"i.u. kg-1 h-1"	"[iU]/kg/h"	"NOM_DIM_X_INTL_UNIT_PER_KG_PER_HR"	5824
	"<magnitude> int. units per kilogram per day"	"i.u. kg-1 d-1"	"[iU]/kg/d"	"NOM_DIM_X_INTL_UNIT_PER_KG_PER_DAY"	5856
"Units for Specific Measurements"					
"- Lung Resistance"	"centimetre of water per litre per second"	"cmH2O l-1s-1"	"cm[H20]/L/s"	"NOM_DIM_CM_H2O_PER_L_PER_SEC"	5920
"- HF Transport Coefficient"	"<magnitude> litre squared per second"	"l2s-1"	"L2/s"	"NOM_DIM_X_L_SQ_PER_SEC"	5952
"- ratio of paO2 to FIO2"	"centimetre of water per percent"	"cmH2O %-1"	"cm[H20]/%"	"NOM_DIM_CM_H2O_PER_PERCENT"	5984
"- ratio of paO2 to FIO2"	"millimetre(s) of mercury per percent"	"mmHg %-1"	"mm[Hg]/%"	"NOM_DIM_MM_HG_PER_PERCENT"	6176
"- ratio of paO2 to FIO2"	"<magnitude> pascal per percent"	"Pa %-1"	"Pa/%"	"NOM_DIM_X_PA_PER_PERCENT"	6208
"- Pulmonary/ Systemic Vascular Resistance Index"	"dyne seconds per square meter per centimetre to the power of 5"	"dyne s m-2 cm-5"	"dyn/m2/cm5"	"NOM_DIM_DYNE_SEC_PER_M_SQ_PER_CM_5"	6016
					
"MISSING FROM IEEE"					
"thermal calories"			"cal"		
"nutritional calories"	"Err:501"		"[Cal]"		
